bidbids,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4,,,,,,,,
Arrow,1,Big_Coal,1,Four Corners,11,0,36.5,36.5,36.5,36.5,,,,,,,,
Arrow,1,Big_Coal,1,ALAMITOS_7,12,0,73.72,73.72,73.72,73.72,,,,,,,,
Arrow,1,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,0,41.66,42.66,47.43,40.5,,,,,,,,
Arrow,1,Big_Coal,1,HUNTINGTON_BEACH_5,14,0,66.5,66.5,66.5,66.5,,,,,,,,
Arrow,1,Big_Coal,1,REDONDO_5-6,15,0,41.94,41.94,41.94,41.94,,,,,,,,
Arrow,1,Big_Coal,1,REDONDO_7-8,16,0,41.94,41.94,41.94,41.94,,,,,,,,
Becker,2,Big_Gas,2,EL_SEGUNDO_1-2,21,0,44.83,44.83,44.83,44.83,,,,,,,,
Becker,2,Big_Gas,2,EL_SEGUNDO_3-4,22,0,41.22,41.22,41.22,41.22,,,,,,,,
Becker,2,Big_Gas,2,LONG_BEACH,23,0,52.5,52.5,52.5,52.5,,,,,,,,
Becker,2,Big_Gas,2,NORTH_ISLAND,24,0,65.5,65.5,65.5,65.5,,,,,,,,
Becker,2,Big_Gas,2,ENCINA,25,0,41.67,41.67,41.67,41.67,,,,,,,,
Becker,2,Big_Gas,2,KEARNY,26,0,90.06,90.06,90.06,90.06,,,,,,,,
Becker,2,Big_Gas,2,SOUTH_BAY,27,0,43.83,43.83,43.83,43.83,,,,,,,,
Coase,3,Bay_Views,3,MORRO_BAY_1-2,31,0,38.78,38.78,38.78,38.78,,,,,,,,
Coase,3,Bay_Views,3,MORRO_BAY_3-4,32,0,36.61,36.61,36.61,36.61,,,,,,,,
Coase,3,Bay_Views,3,MOSS_LANDING_6,33,0,32.56,32.56,32.56,32.56,,,,,,,,
Coase,3,Bay_Views,3,MOSS_LANDING_7,34,0,32.56,32.56,32.56,32.56,,,,,,,,
Coase,3,Bay_Views,3,OAKLAND,35,0,61.17,61.17,61.17,61.17,,,,,,,,
Debreu,4,Beachfront,4,COOLWATER,41,0,44.5,46.5,50,44.5,,,,,,,,
Debreu,4,Beachfront,4,ETIWANDA_1-4,42,0,45,47.5,52,45,,,,,,,,
Debreu,4,Beachfront,4,ETIWANDA_5,43,0,66,69,75,66,,,,,,,,
Debreu,4,Beachfront,4,ELLWOOD,44,0,80,85,92,80,,,,,,,,
Debreu,4,Beachfront,4,MANDALAY_1-2,45,0,41,43,46,41,,,,,,,,
Debreu,4,Beachfront,4,MANDALAY_3,46,0,55,58,64,55,,,,,,,,
Debreu,4,Beachfront,4,ORMOND_BEACH_1,47,0,40,42,45,40,,,,,,,,
Debreu,4,Beachfront,4,ORMOND_BEACH_2,48,0,40,42,45,40,,,,,,,,
Friedman,5,East_Bay,5,PITTSBURGH_1-4,51,0,40.94,45.05,47.08,41.66,,,,,,,,
Friedman,5,East_Bay,5,PITTSBURGH_5-6,52,0,36.61,40.27,42.1,41.66,,,,,,,,
Friedman,5,East_Bay,5,PITTSBURG_7,53,0,59.72,59.72,59.72,41.66,,,,,,,,
Friedman,5,East_Bay,5,CONTRA_COSTA_4-5,54,0,58.28,58.28,58.28,41.67,,,,,,,,
Friedman,5,East_Bay,5,CONTRA_COSTA_6-7,55,0,39.5,43.45,45.43,41.67,,,,,,,,
Friedman,5,East_Bay,5,POTRERO_HILL,56,0,69.83,69.83,69.83,41.67,,,,,,,,
Heckman,6,Old_Timers,6,BIG_CREEK,61,0,0,0,0,0,,,,,,,,
Heckman,6,Old_Timers,6,MOHAVE_1,62,0,34.5,34.5,34.5,34.5,,,,,,,,
Heckman,6,Old_Timers,6,MOHAVE_2,63,0,34.5,34.5,34.5,34.5,,,,,,,,
Heckman,6,Old_Timers,6,HIGHGROVE,64,0,49.61,49.61,49.61,49.61,,,,,,,,
Heckman,6,Old_Timers,6,SAN_BERNARDINO,65,0,53.94,53.94,53.94,53.94,,,,,,,,
Krugman,7,Low_Fossil,7,HUMBOLDT,71,0,0,0,0,0,,,,,,,,
Krugman,7,Low_Fossil,7,HELMS,72,0,0,40.93,0,0,,,,,,,,
Krugman,7,Low_Fossil,7,HUNTERS_POINT_1-2,73,0,0,0,0,0,,,,,,,,
Krugman,7,Low_Fossil,7,HUNTERS_POINT_4,74,0,0,0,0,0,,,,,,,,
Krugman,7,Low_Fossil,7,DIABLO_CANYON_1,75,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,
